Pattern Name,Imbalanced Ratio,Time Window,Abnormality Value,mixed_CS=T,mixed_CS=F,convn_CS=T,convn_CS=F
uptrend,0.9,50,0.305,7.0,7.0,20.0,19.0
uptrend,0.9,50,0.305,9.0,9.0,23.0,20.0
uptrend,0.9,50,0.305,7.0,7.0,19.0,19.0
uptrend,0.9,50,0.305,6.0,6.0,23.0,18.0
uptrend,0.9,50,0.305,8.0,8.0,26.0,19.0
uptrend,0.9,50,0.305,7.0,7.0,18.0,18.0
uptrend,0.9,50,0.305,9.0,9.0,18.0,17.0
uptrend,0.9,50,0.305,8.0,8.0,19.0,19.0
uptrend,0.9,50,0.305,7.0,7.0,24.0,18.0
uptrend,0.9,50,0.305,9.0,9.0,20.0,19.0
uptrend,0.9,50,0.305,9.0,9.0,27.0,18.0
uptrend,0.9,50,0.305,8.0,8.0,19.0,19.0
uptrend,0.9,50,0.305,7.0,7.0,22.0,19.0
uptrend,0.9,50,0.305,10.0,10.0,21.0,21.0
uptrend,0.9,50,0.305,8.0,8.0,20.0,19.0
uptrend,0.9,50,0.305,8.0,8.0,18.0,18.0
uptrend,0.9,50,0.305,7.0,9.0,22.0,20.0
uptrend,0.9,50,0.305,8.0,8.0,19.0,18.0
uptrend,0.9,50,0.305,8.0,8.0,19.0,19.0
uptrend,0.9,50,0.305,7.0,7.0,27.0,18.0
uptrend,0.9,50,0.305,8.0,8.0,21.0,19.0
uptrend,0.9,50,0.305,7.0,8.0,18.0,18.0
uptrend,0.9,50,0.305,8.0,8.0,20.0,19.0
uptrend,0.9,50,0.305,8.0,8.0,23.0,18.0
uptrend,0.9,50,0.305,6.0,6.0,20.0,18.0
uptrend,0.9,50,0.305,7.0,7.0,17.0,17.0
uptrend,0.9,50,0.305,8.0,8.0,18.0,18.0
uptrend,0.9,50,0.305,5.0,5.0,20.0,19.0
uptrend,0.9,50,0.305,10.0,11.0,27.0,20.0
uptrend,0.9,50,0.305,7.0,7.0,20.0,18.0
uptrend,0.9,50,0.305,8.0,8.0,20.0,19.0
uptrend,0.9,50,0.305,6.0,7.0,27.0,20.0
uptrend,0.9,50,0.305,8.0,8.0,20.0,19.0
uptrend,0.9,50,0.305,9.0,9.0,20.0,20.0
uptrend,0.9,50,0.305,7.0,7.0,29.0,19.0
uptrend,0.9,50,0.305,6.0,8.0,19.0,18.0
uptrend,0.9,50,0.305,11.0,12.0,21.0,20.0
uptrend,0.9,50,0.305,4.0,5.0,18.0,17.0
uptrend,0.9,50,0.305,8.0,8.0,19.0,18.0
uptrend,0.9,50,0.305,8.0,8.0,20.0,19.0
uptrend,0.9,50,0.305,7.0,9.0,20.0,19.0
uptrend,0.9,50,0.305,10.0,10.0,22.0,20.0
uptrend,0.9,50,0.305,9.0,9.0,21.0,18.0
uptrend,0.9,50,0.305,8.0,9.0,22.0,19.0
uptrend,0.9,50,0.305,10.0,10.0,20.0,20.0
uptrend,0.9,50,0.305,8.0,8.0,20.0,19.0
uptrend,0.9,50,0.305,8.0,9.0,28.0,19.0
uptrend,0.9,50,0.305,10.0,10.0,20.0,19.0
uptrend,0.9,50,0.305,8.0,8.0,18.0,18.0
uptrend,0.9,50,0.305,4.0,4.0,18.0,17.0
uptrend,0.9,50,0.305,8.0,10.0,20.0,20.0
uptrend,0.9,50,0.305,5.0,5.0,19.0,18.0
uptrend,0.9,50,0.305,9.0,9.0,18.0,18.0
uptrend,0.9,50,0.305,9.0,9.0,19.0,17.0
uptrend,0.9,50,0.305,10.0,10.0,21.0,20.0
uptrend,0.9,50,0.305,9.0,9.0,20.0,19.0
uptrend,0.9,50,0.305,10.0,10.0,20.0,20.0
uptrend,0.9,50,0.305,8.0,8.0,29.0,20.0
uptrend,0.9,50,0.305,9.0,9.0,21.0,20.0
uptrend,0.9,50,0.305,9.0,9.0,21.0,20.0
uptrend,0.9,50,0.305,7.0,7.0,22.0,18.0
uptrend,0.9,50,0.305,9.0,9.0,21.0,19.0
uptrend,0.9,50,0.305,7.0,8.0,18.0,18.0
uptrend,0.9,50,0.305,7.0,8.0,24.0,18.0
uptrend,0.9,50,0.305,7.0,8.0,19.0,19.0
uptrend,0.9,50,0.305,5.0,5.0,22.0,19.0
uptrend,0.9,50,0.305,8.0,8.0,23.0,18.0
uptrend,0.9,50,0.305,11.0,11.0,22.0,20.0
uptrend,0.9,50,0.305,7.0,7.0,22.0,19.0
uptrend,0.9,50,0.305,6.0,6.0,25.0,17.0
uptrend,0.9,50,0.305,8.0,9.0,19.0,18.0
uptrend,0.9,50,0.305,7.0,7.0,26.0,18.0
uptrend,0.9,50,0.305,9.0,9.0,23.0,18.0
uptrend,0.9,50,0.305,6.0,6.0,17.0,17.0
uptrend,0.9,50,0.305,7.0,7.0,18.0,18.0
uptrend,0.9,50,0.305,6.0,6.0,28.0,19.0
uptrend,0.9,50,0.305,10.0,10.0,19.0,19.0
uptrend,0.9,50,0.305,10.0,10.0,23.0,19.0
uptrend,0.9,50,0.305,4.0,4.0,18.0,17.0
uptrend,0.9,50,0.305,7.0,7.0,19.0,17.0
uptrend,0.9,50,0.305,6.0,7.0,19.0,18.0
uptrend,0.9,50,0.305,11.0,11.0,22.0,21.0
uptrend,0.9,50,0.305,8.0,8.0,30.0,19.0
uptrend,0.9,50,0.305,6.0,6.0,20.0,18.0
uptrend,0.9,50,0.305,10.0,10.0,20.0,19.0
uptrend,0.9,50,0.305,9.0,9.0,29.0,19.0
uptrend,0.9,50,0.305,10.0,10.0,20.0,20.0
uptrend,0.9,50,0.305,8.0,8.0,20.0,17.0
uptrend,0.9,50,0.305,4.0,4.0,19.0,18.0
uptrend,0.9,50,0.305,6.0,6.0,22.0,19.0
uptrend,0.9,50,0.305,8.0,8.0,21.0,21.0
uptrend,0.9,50,0.305,8.0,8.0,27.0,19.0
uptrend,0.9,50,0.305,8.0,8.0,24.0,18.0
uptrend,0.9,50,0.305,7.0,7.0,23.0,20.0
uptrend,0.9,50,0.305,7.0,8.0,18.0,17.0
uptrend,0.9,50,0.305,8.0,8.0,19.0,19.0
uptrend,0.9,50,0.305,6.0,8.0,21.0,19.0
uptrend,0.9,50,0.305,9.0,11.0,28.0,20.0
uptrend,0.9,50,0.305,8.0,8.0,21.0,18.0
uptrend,0.9,50,0.305,9.0,9.0,20.0,19.0
uptrend,0.9,50,0.305,9.0,9.0,19.0,18.0
uptrend,0.9,50,0.305,7.0,8.0,22.0,19.0
uptrend,0.9,50,0.305,9.0,9.0,22.0,19.0
uptrend,0.9,50,0.305,8.0,8.0,25.0,18.0
uptrend,0.9,50,0.305,8.0,9.0,18.0,18.0
uptrend,0.9,50,0.305,8.0,8.0,29.0,19.0
uptrend,0.9,50,0.305,9.0,9.0,28.0,20.0
uptrend,0.9,50,0.305,8.0,8.0,18.0,18.0
uptrend,0.9,50,0.305,8.0,8.0,19.0,19.0
uptrend,0.9,50,0.305,8.0,8.0,18.0,18.0
uptrend,0.9,50,0.305,8.0,8.0,20.0,18.0
uptrend,0.9,50,0.305,8.0,9.0,18.0,18.0
uptrend,0.9,50,0.305,10.0,10.0,21.0,19.0
uptrend,0.9,50,0.305,9.0,9.0,20.0,19.0
uptrend,0.9,50,0.305,8.0,8.0,20.0,20.0
uptrend,0.9,50,0.305,7.0,7.0,22.0,19.0
uptrend,0.9,50,0.305,11.0,11.0,20.0,20.0
uptrend,0.9,50,0.305,9.0,9.0,21.0,19.0
uptrend,0.9,50,0.305,11.0,11.0,30.0,20.0
uptrend,0.9,50,0.305,8.0,8.0,23.0,19.0
uptrend,0.9,50,0.305,9.0,9.0,20.0,19.0
uptrend,0.9,50,0.305,7.0,7.0,23.0,19.0
uptrend,0.9,50,0.305,10.0,10.0,21.0,19.0
uptrend,0.9,50,0.305,9.0,10.0,21.0,20.0
uptrend,0.9,50,0.305,8.0,8.0,19.0,19.0
uptrend,0.9,50,0.305,6.0,6.0,18.0,18.0
uptrend,0.9,50,0.305,6.0,6.0,20.0,18.0
uptrend,0.9,50,0.305,9.0,9.0,19.0,19.0
uptrend,0.9,50,0.305,8.0,8.0,19.0,18.0
uptrend,0.9,50,0.305,10.0,10.0,20.0,19.0
uptrend,0.9,50,0.305,9.0,9.0,21.0,19.0
uptrend,0.9,50,0.305,7.0,7.0,20.0,19.0
uptrend,0.9,50,0.305,9.0,9.0,21.0,20.0
uptrend,0.9,50,0.305,6.0,6.0,17.0,17.0
uptrend,0.9,50,0.305,9.0,9.0,29.0,20.0
uptrend,0.9,50,0.305,10.0,10.0,19.0,19.0
uptrend,0.9,50,0.305,7.0,7.0,21.0,18.0
uptrend,0.9,50,0.305,8.0,8.0,21.0,19.0
uptrend,0.9,50,0.305,8.0,8.0,19.0,18.0
uptrend,0.9,50,0.305,10.0,10.0,25.0,20.0
uptrend,0.9,50,0.305,5.0,7.0,19.0,19.0
uptrend,0.9,50,0.305,7.0,8.0,19.0,19.0
uptrend,0.9,50,0.305,9.0,9.0,28.0,20.0
uptrend,0.9,50,0.305,7.0,8.0,19.0,17.0
uptrend,0.9,50,0.305,7.0,7.0,22.0,19.0
uptrend,0.9,50,0.305,9.0,9.0,20.0,19.0
uptrend,0.9,50,0.305,7.0,8.0,18.0,18.0
uptrend,0.9,50,0.305,9.0,9.0,21.0,19.0
uptrend,0.9,50,0.305,8.0,8.0,25.0,20.0
uptrend,0.9,50,0.305,8.0,8.0,20.0,19.0
uptrend,0.9,50,0.305,9.0,9.0,22.0,20.0
uptrend,0.9,50,0.305,10.0,10.0,21.0,20.0
uptrend,0.9,50,0.305,7.0,8.0,19.0,19.0
uptrend,0.9,50,0.305,11.0,11.0,20.0,20.0
uptrend,0.9,50,0.305,8.0,8.0,24.0,19.0
uptrend,0.9,50,0.305,7.0,8.0,19.0,18.0
uptrend,0.9,50,0.305,7.0,7.0,22.0,20.0
uptrend,0.9,50,0.305,9.0,10.0,30.0,20.0
uptrend,0.9,50,0.305,8.0,8.0,23.0,18.0
uptrend,0.9,50,0.305,5.0,5.0,19.0,18.0
uptrend,0.9,50,0.305,8.0,8.0,22.0,20.0
uptrend,0.9,50,0.305,10.0,10.0,29.0,21.0
uptrend,0.9,50,0.305,8.0,9.0,21.0,20.0
uptrend,0.9,50,0.305,7.0,7.0,20.0,19.0
uptrend,0.9,50,0.305,7.0,8.0,18.0,17.0
uptrend,0.9,50,0.305,8.0,9.0,19.0,19.0
uptrend,0.9,50,0.305,10.0,10.0,22.0,21.0
uptrend,0.9,50,0.305,7.0,7.0,20.0,20.0
uptrend,0.9,50,0.305,9.0,9.0,29.0,19.0
uptrend,0.9,50,0.305,7.0,7.0,23.0,18.0
uptrend,0.9,50,0.305,7.0,8.0,19.0,18.0
uptrend,0.9,50,0.305,8.0,8.0,20.0,20.0
uptrend,0.9,50,0.305,9.0,9.0,21.0,20.0
uptrend,0.9,50,0.305,6.0,6.0,21.0,18.0
uptrend,0.9,50,0.305,6.0,6.0,22.0,17.0
uptrend,0.9,50,0.305,10.0,10.0,19.0,18.0
uptrend,0.9,50,0.305,7.0,9.0,21.0,19.0
uptrend,0.9,50,0.305,8.0,8.0,18.0,17.0
uptrend,0.9,50,0.305,9.0,9.0,27.0,20.0
uptrend,0.9,50,0.305,8.0,8.0,19.0,19.0
uptrend,0.9,50,0.305,8.0,8.0,30.0,21.0
uptrend,0.9,50,0.305,7.0,7.0,18.0,17.0
uptrend,0.9,50,0.305,9.0,9.0,21.0,20.0
uptrend,0.9,50,0.305,7.0,7.0,23.0,19.0
uptrend,0.9,50,0.305,7.0,7.0,27.0,19.0
uptrend,0.9,50,0.305,8.0,9.0,22.0,18.0
uptrend,0.9,50,0.305,9.0,9.0,20.0,19.0
uptrend,0.9,50,0.305,8.0,8.0,28.0,19.0
uptrend,0.9,50,0.305,8.0,8.0,24.0,20.0
uptrend,0.9,50,0.305,6.0,6.0,21.0,19.0
uptrend,0.9,50,0.305,10.0,10.0,22.0,19.0
uptrend,0.9,50,0.305,6.0,6.0,18.0,18.0
uptrend,0.9,50,0.305,6.0,6.0,19.0,18.0
uptrend,0.9,50,0.305,7.0,7.0,18.0,18.0
uptrend,0.9,50,0.305,9.0,9.0,25.0,19.0
uptrend,0.9,50,0.305,6.0,7.0,19.0,19.0
uptrend,0.9,50,0.305,9.0,9.0,22.0,20.0
uptrend,0.9,50,0.305,9.0,9.0,29.0,21.0
uptrend,0.9,50,0.305,6.0,6.0,18.0,18.0
uptrend,0.9,50,0.305,7.0,7.0,21.0,19.0
uptrend,0.9,50,0.305,6.0,6.0,19.0,18.0
uptrend,0.9,50,0.305,9.0,9.0,18.0,18.0
uptrend,0.9,50,0.305,7.0,7.0,18.0,18.0
uptrend,0.9,50,0.305,8.0,8.0,19.0,19.0
uptrend,0.9,50,0.305,8.0,8.0,22.0,19.0
uptrend,0.9,50,0.305,8.0,8.0,20.0,19.0
uptrend,0.9,50,0.305,7.0,7.0,24.0,20.0
uptrend,0.9,50,0.305,8.0,8.0,30.0,19.0
uptrend,0.9,50,0.305,6.0,7.0,20.0,18.0
uptrend,0.9,50,0.305,8.0,9.0,19.0,18.0
uptrend,0.9,50,0.305,9.0,10.0,21.0,20.0
uptrend,0.9,50,0.305,9.0,9.0,21.0,19.0
uptrend,0.9,50,0.305,7.0,8.0,23.0,19.0
uptrend,0.9,50,0.305,8.0,8.0,20.0,20.0
uptrend,0.9,50,0.305,7.0,8.0,18.0,18.0
uptrend,0.9,50,0.305,5.0,6.0,27.0,17.0
uptrend,0.9,50,0.305,10.0,10.0,20.0,19.0
uptrend,0.9,50,0.305,7.0,7.0,31.0,20.0
uptrend,0.9,50,0.305,6.0,6.0,20.0,19.0
uptrend,0.9,50,0.305,4.0,4.0,19.0,18.0
uptrend,0.9,50,0.305,8.0,8.0,28.0,18.0
uptrend,0.9,50,0.305,9.0,9.0,21.0,19.0
uptrend,0.9,50,0.305,8.0,8.0,21.0,19.0
uptrend,0.9,50,0.305,10.0,10.0,25.0,19.0
uptrend,0.9,50,0.305,8.0,8.0,20.0,19.0
uptrend,0.9,50,0.305,7.0,7.0,18.0,17.0
uptrend,0.9,50,0.305,5.0,5.0,17.0,17.0
uptrend,0.9,50,0.305,7.0,7.0,26.0,19.0
uptrend,0.9,50,0.305,9.0,9.0,19.0,19.0
uptrend,0.9,50,0.305,5.0,5.0,19.0,17.0
uptrend,0.9,50,0.305,8.0,8.0,20.0,19.0
uptrend,0.9,50,0.305,8.0,9.0,23.0,20.0
uptrend,0.9,50,0.305,9.0,9.0,20.0,20.0
uptrend,0.9,50,0.305,8.0,8.0,26.0,19.0
uptrend,0.9,50,0.305,8.0,8.0,21.0,19.0
uptrend,0.9,50,0.305,3.0,5.0,22.0,18.0
uptrend,0.9,50,0.305,8.0,9.0,18.0,18.0
uptrend,0.9,50,0.305,9.0,9.0,22.0,19.0
uptrend,0.9,50,0.305,8.0,8.0,19.0,15.0
uptrend,0.9,50,0.305,6.0,6.0,18.0,18.0
uptrend,0.9,50,0.305,8.0,8.0,21.0,20.0
uptrend,0.9,50,0.305,8.0,8.0,22.0,18.0
uptrend,0.9,50,0.305,6.0,6.0,23.0,18.0
uptrend,0.9,50,0.305,7.0,7.0,20.0,19.0
uptrend,0.9,50,0.305,11.0,11.0,28.0,19.0
uptrend,0.9,50,0.305,7.0,7.0,21.0,18.0
uptrend,0.9,50,0.305,9.0,9.0,29.0,21.0
uptrend,0.9,50,0.305,10.0,11.0,20.0,19.0
uptrend,0.9,50,0.305,5.0,7.0,17.0,17.0
uptrend,0.9,50,0.305,10.0,10.0,25.0,20.0
uptrend,0.9,50,0.305,7.0,7.0,20.0,19.0
uptrend,0.9,50,0.305,7.0,8.0,20.0,18.0
uptrend,0.9,50,0.305,9.0,9.0,29.0,19.0
